/*---------------------------------------------------------------------------*\
  =========                 |
  \\      /  F ield         | OpenFOAM: The Open Source CFD Toolbox
   \\    /   O peration     | Website:  https://openfoam.org
    \\  /    A nd           | Version:  dev
     \\/     M anipulation  |
\*---------------------------------------------------------------------------*/
Build  : dev-27a117d1f441
Exec   : equilibriumFlameT controlDict
Date   : Jan 16 2013
Time   : 15:40:39
Host   : "dm"
PID    : 4638
Case   : /home/dm2/henry/OpenFOAM/OpenFOAM-dev/applications/utilities/thermophysical/equilibriumFlameT
nProcs : 1
sigFpe : Enabling floating point exception trapping (FOAM_SIGFPE).
SetNaN : Initialising allocated memory to NaN (FOAM_SETNAN).
fileModificationChecking : Monitoring run-time modified files using timeStampMaster
allowSystemOperations : Allowing user-supplied system call operations

// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //

Reading thermodynamic data dictionary

Reading thermodynamic data for relevant species

stoichiometricAirFuelMassRatio stoichiometricAirFuelMassRatio [0 0 0 0 0 0 0] 34.0741;
Equilibrium flame temperature data (1 bar)

Phi          ft     T0         Tad         Teq      Terror   O2res (mole frac)

0.6    0.017304    300     1849.36     1848.92    0.441261   0.0746347
0.6    0.017304    400     1932.16     1931.28    0.879009   0.0746693
0.6    0.017304    500     2015.31     2013.66      1.6553   0.0747311
0.6    0.017304    600      2099.1     2096.14     2.96655    0.074836
0.6    0.017304    700     2183.84     2178.76     5.08632   0.0750065
0.6    0.017304    800     2269.77      2261.4     8.37223   0.0752722
0.6    0.017304    900     2356.97     2343.72     13.2521   0.0756689
0.6    0.017304   1000     2445.26     2425.09     20.1747   0.0762341
0.6    0.017304   1100     2534.41     2504.86     29.5499    0.077003
0.6    0.017304   1200     2624.41     2582.69     41.7235   0.0780054
0.6    0.017304   1300     2715.19     2658.28     56.9132   0.0792609
0.6    0.017304   1400     2806.69     2731.49     75.1966   0.0807775
0.6    0.017304   1500     2898.84     2802.32     96.5198   0.0825522
0.6    0.017304   1600      2991.6     2870.87     120.724   0.0845729
0.6    0.017304   1700      3084.9     2937.32     147.577   0.0868217
0.6    0.017304   1800     3178.71      3001.9      176.81   0.0892764
0.6    0.017304   1900     3272.98     3064.84     208.131   0.0919138
0.6    0.017304   2000     3367.66      3126.4     241.253     0.09471
0.6    0.017304   2100     3462.72     3186.82     275.903   0.0976445
0.6    0.017304   2200     3558.12      3246.2     311.925    0.100726
0.6    0.017304   2300     3653.84     3303.74     350.096    0.104207
0.6    0.017304   2400     3749.83     3350.89     398.934    0.110203
0.6    0.017304   2500     3846.07     3351.34      494.73    0.126061
0.6    0.017304   2600     3942.53     3291.95      650.58    0.151488
0.6    0.017304   2700     4039.19     3236.21     802.988     0.17406
0.6    0.017304   2800     4136.03     3245.34     890.687    0.186501
0.6    0.017304   2900     4233.03     3344.34     888.683    0.186501
0.6    0.017304   3000     4330.16     3443.39      886.77    0.186501
0.65    0.018719    300     1944.33     1943.23     1.10762   0.0647597
0.65    0.018719    400     2026.59     2024.53     2.05315   0.0648355
0.65    0.018719    500     2109.23     2105.61     3.62082   0.0649618
0.65    0.018719    600     2192.53     2186.42     6.10504    0.065163
0.65    0.018719    700     2276.78      2266.9     9.88012   0.0654705
0.65    0.018719    800     2362.23     2346.84     15.3867   0.0659212
0.65    0.018719    900     2448.96     2425.87     23.0886   0.0665545
0.65    0.018719   1000     2536.81     2503.41     33.3941   0.0674057
0.65    0.018719   1100     2625.53     2578.93     46.5953   0.0685004
0.65    0.018719   1200     2715.11     2652.24     62.8776   0.0698558
0.65    0.018719   1300     2805.51     2723.23     82.2781   0.0714767
0.65    0.018719   1400     2896.63     2791.92      104.71   0.0733571
0.65    0.018719   1500     2988.44     2858.44     129.993   0.0754833
0.65    0.018719   1600     3080.86     2922.97     157.886   0.0778362
0.65    0.018719   1700     3173.85     2985.73     188.117   0.0803935
0.65    0.018719   1800     3267.36     3046.95     220.404   0.0831323
0.65    0.018719   1900     3361.34     3106.87     254.469   0.0860297
0.65    0.018719   2000     3455.75     3165.68     290.067   0.0890703
0.65    0.018719   2100     3550.55     3223.35     327.196   0.0923026
0.65    0.018719   2200     3645.71     3278.01     367.698   0.0962479
0.65    0.018719   2300     3741.18     3314.72     426.463    0.104431
0.65    0.018719   2400     3836.94     3292.03     544.908    0.124389
0.65    0.018719   2500     3932.96     3229.29     703.673    0.149514
0.65    0.018719   2600     4029.21     3177.81     851.399    0.170937
0.65    0.018719   2700     4125.67     3175.22     950.445    0.184778
0.65    0.018719   2800     4222.31      3274.1     948.203    0.184778
0.65    0.018719   2900     4319.11     3373.04      946.07    0.184778
0.65    0.018719   3000     4416.05     3472.02     944.031    0.184778
0.7   0.0201299    300     2035.76     2033.25     2.51585   0.0551272
0.7   0.0201299    400     2117.53     2113.15     4.37823   0.0552783
0.7   0.0201299    500     2199.71     2192.43     7.27913   0.0555149
0.7   0.0201299    600     2282.56     2270.96     11.6037   0.0558696
0.7   0.0201299    700     2366.37     2348.58     17.7905   0.0563794
0.7   0.0201299    800     2451.38     2425.09     26.2928   0.0570833
0.7   0.0201299    900     2537.69     2500.17     37.5154   0.0580165
0.7   0.0201299   1000     2625.11     2573.39     51.7294   0.0592034
0.7   0.0201299   1100     2713.43     2644.39     69.0438   0.0606547
0.7   0.0201299   1200     2802.64     2713.17     89.4684    0.062373
0.7   0.0201299   1300     2892.67     2779.78     112.888     0.06435
0.7   0.0201299   1400     2983.45     2844.35     139.106   0.0665705
0.7   0.0201299   1500     3074.93     2907.05     167.878   0.0690147
0.7   0.0201299   1600     3167.04      2968.1     198.938   0.0716609
0.7   0.0201299   1700     3259.73     3027.72     232.012   0.0744866
0.7   0.0201299   1800     3352.96     3086.12     266.841   0.0774712
0.7   0.0201299   1900     3446.67     3143.43     303.236   0.0806124
0.7   0.0201299   2000     3540.82     3199.29     341.528   0.0840445
0.7   0.0201299   2100     3635.38      3249.5     385.874   0.0888593
0.7   0.0201299   2200     3730.29     3268.93     461.361    0.100608
0.7   0.0201299   2300     3825.54     3223.58     601.959    0.124079
0.7   0.0201299   2400     3921.08     3163.25     757.829    0.147885
0.7   0.0201299   2500     4016.89      3115.4      901.49    0.168314
0.7   0.0201299   2600     4112.93     3104.31     1008.62    0.183086
0.7   0.0201299   2700     4209.19     3203.06     1006.13    0.183086
0.7   0.0201299   2800     4305.63     3301.88     1003.76    0.183086
0.7   0.0201299   2900     4402.25     3400.75      1001.5    0.183086
0.7   0.0201299   3000     4499.01     3499.67     999.336    0.183086
0.75   0.0215368    300     2123.87      2118.6     5.26414   0.0457828
0.75   0.0215368    400     2205.19     2196.54     8.64652   0.0460605
0.75   0.0215368    500     2286.96     2273.35     13.6024   0.0464696
0.75   0.0215368    600     2369.39     2348.84      20.555   0.0470463
0.75   0.0215368    700     2452.79     2422.87     29.9229   0.0478271
0.75   0.0215368    800      2537.4     2495.33     42.0731   0.0488441
0.75   0.0215368    900     2623.32     2566.06     57.2623   0.0501209
0.75   0.0215368   1000     2710.36     2634.79     75.5739   0.0516661
0.75   0.0215368   1100     2798.31     2701.37     96.9358   0.0534755
0.75   0.0215368   1200     2887.16     2765.93     121.226   0.0555401
0.75   0.0215368   1300     2976.85     2828.61     148.241   0.0578437
0.75   0.0215368   1400     3067.31     2889.57     177.736   0.0603667
0.75   0.0215368   1500     3158.48     2949.02     209.456    0.063088
0.75   0.0215368   1600      3250.3     3007.15     243.145   0.0659865
0.75   0.0215368   1700     3342.71     3064.14     278.571    0.069047
0.75   0.0215368   1800     3435.67     3119.98     315.691   0.0723035
0.75   0.0215368   1900     3529.12     3173.54     355.588   0.0760823
0.75   0.0215368   2000     3623.03     3215.17     407.865   0.0827504
0.75   0.0215368   2100     3717.35     3207.15     510.202   0.0997809
0.75   0.0215368   2200     3812.04        3147     665.038    0.124757
0.75   0.0215368   2300     3907.07     3092.14     814.923    0.146832
0.75   0.0215368   2400      4002.4     3047.13     955.268    0.166424
0.75   0.0215368   2500        4098     3032.67     1065.33    0.181425
0.75   0.0215368   2600     4193.84     3131.28     1062.56    0.181425
0.75   0.0215368   2700     4289.91     3229.97     1059.94    0.181425
