Temperature (K);Pressure (MPa);Density (l. kg/m3);Viscosity (l. Pa*s);Therm. Cond. (l. W/m*K);Surf. Tension (l. N/m);Density (v. kg/m3);Viscosity (v. Pa*s);Therm. Cond. (v. W/m*K)
329.351;1.4;1185.7;0.000134252;0.0564358;0.00485756;81.1532;1.33E-05;0.0128043
329.671;1.41;1184.24;0.000133755;0.0563258;0.00482213;81.7861;1.33E-05;0.0128369
329.99;1.42;1182.79;0.000133263;0.0562162;0.00478694;82.4205;1.33E-05;0.0128695
330.307;1.43;1181.34;0.000132773;0.0561073;0.00475199;83.0561;1.33E-05;0.0129022
330.623;1.44;1179.9;0.000132287;0.0559988;0.00471727;83.6932;1.34E-05;0.0129349
330.937;1.45;1178.45;0.000131805;0.0558909;0.00468278;84.3316;1.34E-05;0.0129677
331.249;1.46;1177.01;0.000131325;0.0557834;0.00464852;84.9714;1.34E-05;0.0130006
331.56;1.47;1175.57;0.000130849;0.0556765;0.00461448;85.6126;1.34E-05;0.0130335
331.869;1.48;1174.14;0.000130376;0.0555701;0.00458067;86.2552;1.34E-05;0.0130665
332.177;1.49;1172.71;0.000129906;0.0554642;0.00454708;86.8993;1.35E-05;0.0130995
332.483;1.5;1171.28;0.000129439;0.0553588;0.0045137;87.5447;1.35E-05;0.0131326
332.788;1.51;1169.85;0.000128976;0.0552538;0.00448054;88.1917;1.35E-05;0.0131658
333.091;1.52;1168.43;0.000128515;0.0551493;0.00444759;88.84;1.35E-05;0.013199
333.393;1.53;1167;0.000128057;0.0550453;0.00441486;89.4899;1.36E-05;0.0132323
333.693;1.54;1165.58;0.000127602;0.0549418;0.00438233;90.1412;1.36E-05;0.0132657
333.992;1.55;1164.17;0.00012715;0.0548387;0.00435;90.794;1.36E-05;0.0132992
334.29;1.56;1162.75;0.000126701;0.054736;0.00431788;91.4484;1.36E-05;0.0133327
334.586;1.57;1161.34;0.000126255;0.0546338;0.00428597;92.1042;1.36E-05;0.0133663
334.881;1.58;1159.93;0.000125811;0.0545321;0.00425425;92.7616;1.37E-05;0.0134
335.174;1.59;1158.52;0.00012537;0.0544307;0.00422272;93.4205;1.37E-05;0.0134338
335.466;1.6;1157.11;0.000124932;0.0543299;0.0041914;94.0809;1.37E-05;0.0134677
335.756;1.61;1155.71;0.000124496;0.0542294;0.00416026;94.743;1.37E-05;0.0135016
336.046;1.62;1154.31;0.000124063;0.0541293;0.00412932;95.4066;1.38E-05;0.0135357
336.334;1.63;1152.9;0.000123632;0.0540297;0.00409857;96.0717;1.38E-05;0.0135698
336.621;1.64;1151.51;0.000123204;0.0539305;0.004068;96.7385;1.38E-05;0.013604
336.906;1.65;1150.11;0.000122778;0.0538317;0.00403762;97.4069;1.38E-05;0.0136384
337.19;1.66;1148.71;0.000122355;0.0537333;0.00400743;98.0769;1.38E-05;0.0136728
337.473;1.67;1147.32;0.000121935;0.0536353;0.00397741;98.7486;1.39E-05;0.0137073
337.755;1.68;1145.93;0.000121516;0.0535376;0.00394758;99.4219;1.39E-05;0.0137419
338.035;1.69;1144.54;0.0001211;0.0534404;0.00391792;100.097;1.39E-05;0.0137766
338.314;1.7;1143.15;0.000120686;0.0533435;0.00388844;100.774;1.39E-05;0.0138114
