p,Tsat
99083.3,372.499
100667,372.942
102250,373.379
103833,373.811
105417,374.237
107000,374.658
108583,375.074
110167,375.485
111750,375.891
113333,376.293
114917,376.689
116500,377.082
118083,377.47
119667,377.853
121250,378.233
122833,378.608
124417,378.98
126000,379.347
127583,379.711
129167,380.071
130750,380.427
132333,380.78
133917,381.13
135500,381.476
137083,381.819
138667,382.158
140250,382.494
141833,382.828
143417,383.158
145000,383.485
146583,383.809
148167,384.131
149750,384.449
151333,384.765
152917,385.078
154500,385.389
156083,385.697
157667,386.002
159250,386.305
160833,386.605
162417,386.903
164000,387.199
165583,387.492
167167,387.783
168750,388.072
170333,388.358
171917,388.642
173500,388.925
175083,389.205
176667,389.483
178250,389.759
179833,390.033
181417,390.305
183000,390.575
184583,390.843
186167,391.109
187750,391.374
189333,391.636
190917,391.897
192500,392.156
194083,392.413
195667,392.669
197250,392.923
198833,393.175
200417,393.426
