Temperature (K),Pressure (bar)
354.46689,0.5
359.076,0.6
363.08173,0.7
366.63554,0.8
369.83715,0.9
372.75593,1
375.44217,1.1
377.93355,1.2
380.25908,1.3
382.44159,1.4
384.49938,1.5
386.44738,1.6
388.2979,1.7
390.06127,1.8
391.74619,1.9
393.36009,2
394.90938,2.1
396.3996,2.2
397.83559,2.3
399.2216,2.4
400.56141,2.5
401.85833,2.6
403.11535,2.7
404.33515,2.8
405.52011,2.9
406.67242,3
407.79404,3.1
408.88675,3.2
409.9522,3.3
410.99188,3.4
412.00715,3.5
412.99928,3.6
413.96943,3.7
414.91868,3.8
415.84801,3.9
416.75836,4
417.65058,4.1
418.52547,4.2
419.38378,4.3
420.22621,4.4
421.0534,4.5
421.86597,4.6
422.6645,4.7
423.44953,4.8
424.22156,4.9
424.98108,5
