# E. Schulein et al. "Documentation of Two-Dimensional Impinging Shock/Turbulent Boundary Layer Interaction Flow", DLR Report DLR IB 223-96 A 49, 1996.
# Appendix C
# x p_beta6 p_beta10 p_beta14
0.2410 4280
0.2485 4278
0.2560 4311
0.2635 4276
0.2710 4327
0.2785 4312
0.2860 4339
0.2935 4345
0.3010 4336
0.3050 4290
0.3088 4349
0.3126 4329
0.3164 4350
0.3202 4340
0.3240 4340
0.3278 4440
0.3316 4760
0.3354 9713
0.3392 13843
0.3430 18093
0.3468 22300
0.3506 26132
0.3544 28100
0.3582 29925
0.3620 31433
0.3658 32120
0.3696 32500
0.3734 33090
0.3772 33081
0.3810 33357
0.3848 33389
0.3886 33407
0.3924 33211
0.3962 33281
0.4000 33245
0.4063 32956
0.4125 33252
0.4188 33242
0.4250 33207
0.4313 33365
0.4375 33220
0.4438 33204
0.4500 33329
0.4563 33223
0.4625 32564
0.4688 30500
0.4750 28262
0.4813 25836
